2024-11-16 21:02:06,1,0,0,10
2024-11-16 21:25:06,1,3,0,7
2024-11-16 21:26:34,2,5,2,13
2024-11-17 15:36:13,1,4,2,4
2024-11-17 15:36:50,2,4,3,13
2024-11-17 15:38:10,3,14,3,13
2024-11-19 14:04:31,1,4,0,6
2024-11-19 23:48:50,1,7,0,3
2024-11-19 23:50:42,2,11,0,9
2024-11-26 16:36:13,1,0,0,10
2024-11-30 00:18:10,1,0,0,10
2024-11-30 00:18:54,2,2,0,18
2024-11-30 00:21:57,1,0,0,10
2024-11-30 00:22:56,2,1,0,19
2024-11-30 00:23:39,3,1,0,29
2024-11-30 00:23:47,4,1,0,39
2024-11-30 00:23:59,5,1,0,49
2024-11-30 00:24:11,6,1,0,59
2024-11-30 00:29:28,1,2,0,8
2024-11-30 00:30:33,2,2,0,18
2024-11-30 00:31:39,3,4,0,26
